"athleteName","clubName","countryName"
"Russell Kelly (footballer)","Chelsea F.C.","United Kingdom"
"William Campbell (footballer)","Manchester United F.C.","Scotland"
"William Gibson (footballer, born 1926)","Arsenal F.C.","United Kingdom"
"Kingsley Whiffen","Chelsea F.C.","United Kingdom"
"Karlo Žiger","Chelsea F.C.","Croatia"
"Jimmy Ashcroft","Arsenal F.C.","United Kingdom"
"Jimmy Rimmer","Arsenal F.C.","United Kingdom"
"Johnny Berry","Manchester United F.C.","United Kingdom"
"James Vance (footballer)","Manchester United F.C.","United Kingdom"
"Sandy Turnbull","Manchester United F.C.","United Kingdom"
"Bert Cartman","Manchester United F.C.","United Kingdom"
"Alec Ormiston","Chelsea F.C.","United Kingdom"
"Leslie Odell","Chelsea F.C.","United Kingdom"
"Jimmy Smith (footballer, born 1930)","Chelsea F.C.","United Kingdom"
"Joe Norton (footballer)","Manchester United F.C.","United Kingdom"
"Thiago Silva","Chelsea F.C.","Brazil"
"Kalidou Koulibaly","Chelsea F.C.","France"
"Harry Wood (footballer, born 2002)","Manchester United F.C.","United Kingdom"
"Keith Fahey","Arsenal F.C.","Republic of Ireland"
"Michael Tonge","Manchester United F.C.","United Kingdom"
"Tony Cascarino","Chelsea F.C.","United Kingdom"
"Richard Wilson (footballer, born 1960)","Chelsea F.C.","England"
"Peter Turner (Scottish footballer)","Arsenal F.C.","United Kingdom"
"Charlie Wakefield (footballer, born 1998)","Chelsea F.C.","United Kingdom"
"Gary Donnellan","Chelsea F.C.","United Kingdom"
"Isaac Owens","Arsenal F.C.","United Kingdom"
"Leo Donnellan","Chelsea F.C.","United Kingdom"
